wall_time,fusion_id,trigger_source,trigger_stamp,camera_found,lidar_found,gps_found,gps_interpolated,imu_found,depth_found,odom_found,camera_delta_ms,lidar_delta_ms,imu_delta_ms,depth_delta_ms,odom_delta_ms,gps_delta_ms,fusion_latency_ms
1786563844846,57,camera,1775762858.797358990,1,0,1,0,1,0,0,0.0000,-1.0000,3.6297,-1.0000,-1.0000,305.9096,0.2549
1786563845193,58,camera,1775762859.130976915,1,0,1,0,1,0,1,0.0000,-1.0000,4.3017,-1.0000,0.0000,639.5276,0.2933
1786563845537,59,camera,1775762859.463865995,1,0,1,0,1,0,1,0.0000,-1.0000,0.6377,-1.0000,0.0000,972.4166,0.2532
1786563845572,60,lidar,18137.813792560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1024
1786563846546,61,camera,1775762860.499908209,1,0,1,0,1,0,1,0.0000,-1.0000,1.0482,-1.0000,0.0000,2008.4586,0.2099
1786563846563,62,lidar,18138.813793560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1118
1786563846837,63,camera,1775762860.797497034,1,0,1,0,1,0,1,0.0000,-1.0000,0.0542,-1.0000,0.0000,2306.0476,0.2736
1786563847202,64,camera,1775762861.164115906,1,0,1,1,1,0,1,0.0000,-1.0000,6.0802,-1.0000,0.0000,0.0000,0.2641
1786563847814,65,camera,1775762861.464257956,1,0,1,1,1,1,1,0.0000,-1.0000,2.5332,0.0000,0.0000,0.0000,0.3347
1786563848104,66,camera,1775762862.064860106,1,0,1,1,1,0,1,0.0000,-1.0000,4.8788,-1.0000,0.0000,0.0000,0.3305
1786563848555,67,lidar,18140.813802560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0931
1786563848770,68,camera,1775762862.731512070,1,0,1,1,1,0,1,0.0000,-1.0000,2.2908,-1.0000,0.0000,0.0000,0.2708
1786563849114,69,camera,1775762863.064367056,1,0,1,1,1,0,1,0.0000,-1.0000,3.0608,-1.0000,0.0000,0.0000,0.1776
1786563849401,70,camera,1775762863.364387989,1,0,1,1,1,0,1,0.0000,-1.0000,3.4557,-1.0000,0.0000,0.0000,0.3198
1786563849612,71,lidar,18141.813797560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1478
1786563849785,72,camera,1775762863.730858088,1,0,1,0,1,0,1,0.0000,-1.0000,1.6657,-1.0000,0.0000,258.2857,0.2656
1786563850088,73,camera,1775762864.031114101,1,0,1,0,1,0,1,0.0000,-1.0000,0.2447,-1.0000,0.0000,558.5417,0.2360
1786563850434,74,camera,1775762864.398462057,1,0,1,0,1,0,1,0.0000,-1.0000,4.9558,-1.0000,0.0000,925.8897,0.2861
1786563850758,75,camera,1775762864.697625160,1,0,1,0,1,0,1,0.0000,-1.0000,2.3137,-1.0000,0.0000,1225.0527,0.3177
1786563851075,76,camera,1775762865.032504082,1,0,1,0,1,0,1,0.0000,-1.0000,0.8078,-1.0000,0.0000,1559.9317,0.2716
1786563851546,77,lidar,18143.813799560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1470
1786563852020,78,camera,1775762865.964356184,1,0,1,1,1,0,1,0.0000,-1.0000,4.3652,-1.0000,0.0000,0.0000,0.3081
