wall_time,fusion_id,trigger_source,trigger_stamp,camera_found,lidar_found,gps_found,imu_found,depth_found,odom_found,vel_found,rgb_raw_camera_info_found,stereo_found,camera_delta_ms,lidar_delta_ms,imu_delta_ms,depth_delta_ms,odom_delta_ms,gps_delta_ms,vel_delta_ms,rgb_raw_camera_info_delta_ms,stereo_delta_ms,fusion_latency_ms
1788948188007,165,depth,1775762900.233884096,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.0853,0.0000,0.0000,234.7272,251.5422,0.0000,0.0000,0.3147
1788948188659,166,depth,1775762900.600633144,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.7943,0.0000,0.0000,132.0218,115.2068,0.0000,0.0000,0.3143
1788948189345,167,depth,1775762900.967123985,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.1753,0.0000,0.0000,499.6883,516.5148,0.0000,0.0000,0.3892
1788948189587,168,depth,1775762901.700629950,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.6013,0.0000,0.0000,233.8177,216.9912,0.0000,0.0000,0.3040
1788948189852,169,depth,1775762902.000533104,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.8393,0.0000,0.0000,533.7207,516.8942,0.0000,0.0000,0.3327
1788948190556,170,depth,1775762902.367383957,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,6.1853,0.0000,0.0000,121.4225,136.7915,0.0000,0.0000,0.3413
1788948190859,171,depth,1775762902.767255068,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,5.5263,0.0000,0.0000,278.4485,263.0795,0.0000,0.0000,0.3364
1788948191240,172,depth,1775762903.100776911,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.6417,0.0000,0.0000,611.9705,596.6015,0.0000,0.0000,0.3214
1788948191663,173,depth,1775762903.434138060,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.7918,0.0000,0.0000,49.8704,62.8418,0.0000,0.0000,0.4209
1788948191898,174,depth,1775762903.734012127,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.8308,0.0000,0.0000,250.0036,237.0322,0.0000,0.0000,0.3644
1788948192256,175,depth,1775762904.034018040,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.0632,0.0000,199.8810,550.0096,537.0382,0.0000,0.0000,0.5608
1788948192446,176,depth,1775762904.334247112,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.3958,0.0000,0.0000,134.2691,161.3791,0.0000,0.0000,0.9015
1788948192770,177,depth,1775762904.667523146,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,5.9143,0.0000,0.0000,199.0069,171.8969,0.0000,0.0000,0.6285
1788948193341,178,depth,1775762905.000786066,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.1777,0.0000,0.0000,532.2699,505.1599,0.0000,0.0000,0.3112
1788948193750,179,depth,1775762905.336220980,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.0977,0.0000,0.0000,168.8891,184.1538,0.0000,0.0000,0.3295
1788948193873,180,depth,1775762905.634289265,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.8647,0.0000,0.0000,129.1789,113.9142,0.0000,0.0000,0.4045
1788948194170,181,depth,1775762905.967671156,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.2402,0.0000,0.0000,462.5609,447.2962,0.0000,0.0000,0.3489
1788948194955,182,depth,1775762906.302808046,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.9257,0.0000,0.0000,173.9261,189.8359,0.0000,0.0000,0.5987
